,K&A,AoW,Rape
138,7.283448228756631,6.80128303447162,7.121252453244542
139,6.834108738813838,6.111467339502679,7.044905117129371
140,5.214935757608986,7.27931883541462,6.897704943128636
141,2.4849066497880004,3.4011973816621555,2.995732273553991
142,6.82001636467413,6.687108607866515,5.780743515792329
143,5.840641657373398,5.940171252720432,6.133398042996649
144,4.624972813284271,5.655991810819852,4.948759890378168
145,6.489204931325317,6.721425700790643,5.303304908059076
146,5.645446897643238,5.680172609017068,6.6240652277998935
147,5.7430031878094825,7.368339686311381,5.8377304471659395
148,4.859812404361672,7.757478766584179,6.169610732491456
149,6.403574197934815,8.768107539675803,7.979681302387741
150,6.7464121285733745,8.07961802938984,7.3427791893318455
151,4.23410650459726,3.2188758248682006,3.2188758248682006
152,2.9444389791664403,3.784189633918261,4.143134726391533
154,2.1972245773362196,1.9459101490553132,2.833213344056216
155,6.304448802421981,7.71333788887187,6.683360945766275
156,5.796057750765372,5.730099782973574,5.986452005284438
157,7.3453648404168685,7.8252452914317745,6.900730664045173
158,0.6931471805599453,3.6375861597263857,2.8903717578961645
159,6.663132695990803,7.475339236566737,6.3473892096560105
160,3.7612001156935624,5.081404364984463,5.087596335232384
161,7.721348612617949,7.51479976048867,7.104144092987527
162,4.8283137373023015,4.605170185988092,4.890349128221754
163,6.946013991099227,7.360103972989152,7.430114138561801
164,0.0,2.3978952727983707,1.3862943611198906
165,3.8066624897703196,3.4339872044851463,3.4965075614664802
166,2.1972245773362196,1.6094379124341003,1.6094379124341003
167,0.6931471805599453,0.0,0.6931471805599453
169,1.0986122886681098,4.0943445622221,1.791759469228055
170,7.192182058713246,8.419359831067474,6.955592608396297
171,3.9318256327243257,4.143134726391533,3.6109179126442243
172,7.342131730584722,7.162397497355718,7.126087273299125
173,6.988413181999592,6.272877006546167,7.116394144093465
174,5.181783550292085,7.37650812632622,6.902742737158593
175,2.302585092994046,2.8903717578961645,3.044522437723423
176,6.851184927493743,6.601230118728877,5.869296913133774
177,6.066108090103747,6.186208623900494,6.410174881966167
178,4.6913478822291435,5.616771097666572,4.727387818712341
179,6.583409222158765,6.866933284461882,5.521460917862246
180,6.016157159698354,6.025865973825314,6.683360945766275
181,5.793013608384144,7.428333194190806,5.991464547107982
182,5.308267697401205,7.841099765422119,6.398594934535208
183,6.424869023905388,8.739216115061744,7.9724660159745655
184,6.825460036255307,8.154500175151941,7.313220387090301
185,4.3694478524670215,3.7376696182833684,3.6888794541139363
186,3.2188758248682006,4.04305126783455,4.30406509320417
187,0.0,3.9318256327243257,4.276666119016055
188,1.0986122886681098,1.0986122886681098,3.1354942159291497
189,6.3578422665081,7.789454566086673,6.892641641172089
190,6.035481432524756,5.749392985908253,6.091309882077698
191,7.347943823148687,7.856319571406588,6.98933526597456
192,1.9459101490553132,2.6390573296152584,2.995732273553991
193,6.576469569048224,7.072421900537371,6.124683390894205
194,4.127134385045092,5.332718793265369,5.241747015059643
195,7.844240718141811,7.647786045440933,7.1808311990445555
196,5.209486152841421,5.030437921392435,4.990432586778736
197,7.089243155027514,7.515889085215125,7.456454555176209
198,1.6094379124341003,2.6390573296152584,1.791759469228055
199,4.04305126783455,2.995732273553991,2.9444389791664403
200,2.6390573296152584,1.6094379124341003,1.791759469228055
201,0.0,0.6931471805599453,1.0986122886681098
203,2.5649493574615367,4.02535169073515,2.1972245773362196
204,7.355001921105257,8.39072252736229,6.975413927455952
205,3.784189633918261,4.276666119016055,3.871201010907891
206,7.293697720601438,6.670766320845874,7.270312886079025
207,7.138866999945524,6.748759547491679,7.349230824613334
208,5.198497031265826,7.3453648404168685,6.889591308354466
209,1.9459101490553132,2.995732273553991,2.995732273553991
210,6.9930151229329605,6.71174039505618,5.755742213586912
211,6.317164686747284,6.0330862217988015,6.1903154058531475
212,5.0106352940962555,5.7745515455444085,5.0689042022202315
213,6.561030665896573,6.893656354602635,5.662960480135946
214,6.280395838960195,5.834810737062605,6.75110146893676
215,5.966146739123692,7.510977752014095,6.077642243349034
216,5.176149732573829,7.8724551500639794,6.238324625039508
217,6.55250788703459,8.820551743253025,8.009695357742922
218,6.874198495453294,8.10349427838097,7.280008252884188
219,4.418840607796598,4.248495242049359,2.995732273553991
220,3.091042453358316,3.8066624897703196,4.406719247264253
222,1.791759469228055,2.0794415416798357,2.5649493574615367
223,6.492239835020471,7.928406026180535,6.844815479208263
224,6.300785794663244,6.056784013228625,6.251903883165888
225,7.434847875211999,7.814803429489359,7.121252453244542
226,2.1972245773362196,2.5649493574615367,3.1780538303479458
227,7.00033446027523,7.3395376954076745,6.259581464064923
228,4.394449154672439,5.497168225293202,5.056245805348308
229,8.12058871174027,7.8328075165248645,7.4073177104694174
230,5.424950017481403,4.983606621708336,4.762173934797756
231,7.371489295214277,7.732369222284388,7.652545692693921
232,2.1972245773362196,3.044522437723423,1.0986122886681098
233,3.828641396489095,3.4657359027997265,3.091042453358316
237,2.6390573296152584,4.48863636973214,2.1972245773362196
238,7.241366283322318,8.46168048148598,7.136483208590247
239,3.8501476017100584,4.276666119016055,3.7376696182833684
240,7.489412083508719,7.148345743900068,7.271008538280992
241,7.489412083508719,6.906754778648554,7.171656822768514
242,5.375278407684165,7.390798521735676,6.885509670034818
243,3.332204510175204,3.4657359027997265,3.4011973816621555
244,7.020190708311925,6.71901315438526,5.924255797414532
245,6.467698726104354,6.075346031088684,6.447305862541213
246,4.919980925828125,5.68697535633982,5.056245805348308
247,6.486160788944089,6.840546529288687,5.389071729816501
248,6.212606095751519,5.602118820879701,6.673297967767654
249,6.003887067106539,7.577633832602728,6.100318952020064
250,5.111987788356544,7.917536353943631,6.342121418721152
251,6.601230118728877,8.771059915373288,7.98514393119862
252,6.905753276311464,8.193953023563742,7.351158226430694
253,4.465908118654584,4.04305126783455,3.6375861597263857
254,3.2188758248682006,3.9889840465642745,4.477336814478207
255,0.0,4.356708826689592,4.343805421853684
256,1.9459101490553132,2.70805020110221,2.9444389791664403
257,6.635946555686647,7.930925372483388,7.014814351275545
258,6.2422232654551655,5.961005339623274,6.248042874508429
